id,ICO,COMPANY,HEADQUARTERS,DEGREE,FIRST_NAME,LAST_NAME,phone,location,street,city,country,postal_code
0,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Elsie,Bethune,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
1,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Sally,Walsh,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
2,25669532,Stav Prof s.r.o.,Hlavní město Praha,PaedDr.,Antonia,Lo,+420 353 360 611,Hostivař,Hornoměcholupská,Karlovy Vary,Czechia,10200.0
3,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Jesus,Navarro,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
4,6658628,CK SATURN s.r.o.,Hlavní město Praha,PaedDr.,Savannah,Hall,+420 353 360 611,Trhové Sviny,Okružní,Karlovy Vary,Czechia,37401.0
5,24140864,PONYEXPRES Organization s.r.o.,Hlavní město Praha,PaedDr.,Rose,Lester,+420 353 360 611,Žižkov (Praha 3),Orebitská,Karlovy Vary,Czechia,13000.0
6,28170300,Baza s.r.o. v likvidaci,Hlavní město Praha,PaedDr.,Luther,Bennett,+420 353 360 611,Nové Město (Praha 1),Národní,Karlovy Vary,Czechia,11000.0
7,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Rosalba,Harloff,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
8,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,George,Roberts,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
9,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Mike,Valadez,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
10,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Robert,Matson,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
11,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Blanca,Desatnik,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
12,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Maria,Stupak,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
13,24146757,Overcoast financial services & investment s.r.o.,Hlavní město Praha,PaedDr.,Martha,Davis,+420 353 360 611,Libeň (Praha 8),Novákových,Karlovy Vary,Czechia,18000.0
14,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Valerie,Klopfenstein,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
15,9523693,Innosoft s.r.o.,Hlavní město Praha,PaedDr.,Adrian,Perez,+420 353 360 611,Jižní Předměstí,Budilova,Karlovy Vary,Czechia,30100.0
